county_name,fdr_result
Santa Clara,10.2
Santa Clara,9.2
Santa Clara,9.2
Santa Clara,8.8
Santa Clara,9.2
Santa Clara,8.3
Santa Clara,9.2
Santa Clara,10.2
Santa Clara,10.8
Santa Clara,11.2
Santa Clara,11.4
Santa Clara,10.5
Santa Clara,9.9
Santa Clara,9.5
Santa Clara,9.5
Santa Clara,9.8
Santa Clara,10.3
Santa Clara,10.6
Santa Clara,9.8
Santa Clara,10.7
Santa Clara,11.3
Santa Clara,11.1
Santa Clara,12.7
Santa Clara,11.9
Santa Clara,11.9
Santa Clara,11.1
Santa Clara,11.4
Santa Clara,11.8
Santa Clara,11.3
Santa Clara,11.3
Santa Clara,11.5
Santa Clara,12.1
Santa Clara,12.1
Santa Clara,12.6
Santa Clara,13
Santa Clara,14.3
Santa Clara,14.3
Santa Clara,14.1
Santa Clara,14
Santa Clara,13
Santa Clara,10.1
Santa Clara,9.6
Santa Clara,9
Santa Clara,8.3
Santa Clara,10.8
Santa Clara,10
Santa Clara,9.5
Santa Clara,10.9
Santa Clara,12
Santa Clara,11.4
Santa Clara,10.4
Santa Clara,9.3
Santa Clara,12.5
Santa Clara,8.6
Santa Clara,9
Santa Clara,8.3
Santa Clara,8.3
Santa Clara,9.1
Santa Clara,9
Santa Clara,9.2
Santa Clara,11
Santa Clara,11.5
Santa Clara,10.5
Santa Clara,11
Santa Clara,10.7
Santa Clara,9.4
Santa Clara,9.4
Santa Clara,8.7
Santa Clara,12.8
Santa Clara,12.8
Santa Clara,11.9
Santa Clara,16.3
Santa Clara,12.5
Santa Clara,14.3
Santa Clara,14.6
Santa Clara,13.2
Santa Clara,9.1
Santa Clara,10.4
Santa Clara,11
Santa Clara,9.7
Santa Clara,8.8
Santa Clara,9.1
Santa Clara,11.7
Santa Clara,10.4
Santa Clara,10
Santa Clara,10.5
Santa Clara,11.2
Santa Clara,10.5
Santa Clara,11.5
Santa Clara,13.2
Santa Clara,12.2
Santa Clara,10.3
Santa Clara,10.5
Santa Clara,9.7
Santa Clara,9.6
Santa Clara,9.8
Santa Clara,10.2
Santa Clara,10.8
Santa Clara,11.6
Santa Clara,11.9
Santa Clara,11.8
Santa Clara,11.4
Santa Clara,11.1
Santa Clara,10.6
Santa Clara,10.4
Santa Clara,10.4
Santa Clara,9.6
Santa Clara,8.6
Santa Clara,10.3
Santa Clara,9.9
Santa Clara,10.3
Santa Clara,10.1
Santa Clara,11.1
Santa Clara,11.3
Santa Clara,11
Santa Clara,9.4
Santa Clara,10.7
Santa Clara,11.4
Santa Clara,11.8
Santa Clara,12
Santa Clara,10.4
